Weights: {'jaccard': 0.0, 'cosine': 0.0, 'synonym': 0.0, 'difflib': 0.0, 'enhanced': 0.0, 'levenshtein': 1.0}, Average Accuracy: 51.78%
Weights: {'jaccard': 0.0, 'cosine': 0.0, 'synonym': 0.0, 'difflib': 0.0, 'enhanced': 0.1, 'levenshtein': 0.9}, Average Accuracy: 49.71%
Weights: {'jaccard': 0.0, 'cosine': 0.0, 'synonym': 0.0, 'difflib': 0.0, 'enhanced': 0.2, 'levenshtein': 0.8}, Average Accuracy: 47.92%
Weights: {'jaccard': 0.0, 'cosine': 0.0, 'synonym': 0.0, 'difflib': 0.0, 'enhanced': 0.3, 'levenshtein': 0.7}, Average Accuracy: 46.27%
Weights: {'jaccard': 0.0, 'cosine': 0.0, 'synonym': 0.0, 'difflib': 0.0, 'enhanced': 0.4, 'levenshtein': 0.6}, Average Accuracy: 43.50%
Weights: {'jaccard': 0.0, 'cosine': 0.0, 'synonym': 0.0, 'difflib': 0.0, 'enhanced': 0.5, 'levenshtein': 0.5}, Average Accuracy: 42.05%
Weights: {'jaccard': 0.0, 'cosine': 0.0, 'synonym': 0.0, 'difflib': 0.0, 'enhanced': 0.6, 'levenshtein': 0.4}, Average Accuracy: 40.59%
Weights: {'jaccard': 0.0, 'cosine': 0.0, 'synonym': 0.0, 'difflib': 0.0, 'enhanced': 0.7, 'levenshtein': 0.3}, Average Accuracy: 39.14%
Weights: {'jaccard': 0.0, 'cosine': 0.0, 'synonym': 0.0, 'difflib': 0.0, 'enhanced': 0.8, 'levenshtein': 0.2}, Average Accuracy: 37.68%
Weights: {'jaccard': 0.0, 'cosine': 0.0, 'synonym': 0.0, 'difflib': 0.0, 'enhanced': 0.9, 'levenshtein': 0.1}, Average Accuracy: 36.22%
Weights: {'jaccard': 0.0, 'cosine': 0.0, 'synonym': 0.0, 'difflib': 0.0, 'enhanced': 1.0, 'levenshtein': 0.0}, Average Accuracy: 33.76%
Weights: {'jaccard': 0.0, 'cosine': 0.0, 'synonym': 0.0, 'difflib': 0.1, 'enhanced': 0.0, 'levenshtein': 0.9}, Average Accuracy: 51.60%
Weights: {'jaccard': 0.0, 'cosine': 0.0, 'synonym': 0.0, 'difflib': 0.1, 'enhanced': 0.1, 'levenshtein': 0.8}, Average Accuracy: 49.54%
Weights: {'jaccard': 0.0, 'cosine': 0.0, 'synonym': 0.0, 'difflib': 0.1, 'enhanced': 0.2, 'levenshtein': 0.7}, Average Accuracy: 47.79%
Weights: {'jaccard': 0.0, 'cosine': 0.0, 'synonym': 0.0, 'difflib': 0.1, 'enhanced': 0.3, 'levenshtein': 0.6}, Average Accuracy: 46.14%
Weights: {'jaccard': 0.0, 'cosine': 0.0, 'synonym': 0.0, 'difflib': 0.1, 'enhanced': 0.4, 'levenshtein': 0.5}, Average Accuracy: 43.37%
Weights: {'jaccard': 0.0, 'cosine': 0.0, 'synonym': 0.0, 'difflib': 0.1, 'enhanced': 0.5, 'levenshtein': 0.4}, Average Accuracy: 41.92%
Weights: {'jaccard': 0.0, 'cosine': 0.0, 'synonym': 0.0, 'difflib': 0.1, 'enhanced': 0.6, 'levenshtein': 0.3}, Average Accuracy: 40.46%
Weights: {'jaccard': 0.0, 'cosine': 0.0, 'synonym': 0.0, 'difflib': 0.1, 'enhanced': 0.7, 'levenshtein': 0.2}, Average Accuracy: 39.01%
Weights: {'jaccard': 0.0, 'cosine': 0.0, 'synonym': 0.0, 'difflib': 0.1, 'enhanced': 0.8, 'levenshtein': 0.1}, Average Accuracy: 37.55%
Weights: {'jaccard': 0.0, 'cosine': 0.0, 'synonym': 0.0, 'difflib': 0.1, 'enhanced': 0.9, 'levenshtein': 0.0}, Average Accuracy: 36.09%
Weights: {'jaccard': 0.0, 'cosine': 0.0, 'synonym': 0.0, 'difflib': 0.2, 'enhanced': 0.0, 'levenshtein': 0.8}, Average Accuracy: 51.50%
Weights: {'jaccard': 0.0, 'cosine': 0.0, 'synonym': 0.0, 'difflib': 0.2, 'enhanced': 0.1, 'levenshtein': 0.7}, Average Accuracy: 49.39%
Weights: {'jaccard': 0.0, 'cosine': 0.0, 'synonym': 0.0, 'difflib': 0.2, 'enhanced': 0.2, 'levenshtein': 0.6}, Average Accuracy: 47.66%
Weights: {'jaccard': 0.0, 'cosine': 0.0, 'synonym': 0.0, 'difflib': 0.2, 'enhanced': 0.3, 'levenshtein': 0.5}, Average Accuracy: 46.01%
Weights: {'jaccard': 0.0, 'cosine': 0.0, 'synonym': 0.0, 'difflib': 0.2, 'enhanced': 0.4, 'levenshtein': 0.4}, Average Accuracy: 43.24%
Weights: {'jaccard': 0.0, 'cosine': 0.0, 'synonym': 0.0, 'difflib': 0.2, 'enhanced': 0.5, 'levenshtein': 0.3}, Average Accuracy: 41.79%
Weights: {'jaccard': 0.0, 'cosine': 0.0, 'synonym': 0.0, 'difflib': 0.2, 'enhanced': 0.6, 'levenshtein': 0.2}, Average Accuracy: 40.33%
Weights: {'jaccard': 0.0, 'cosine': 0.0, 'synonym': 0.0, 'difflib': 0.2, 'enhanced': 0.8, 'levenshtein': 0.0}, Average Accuracy: 37.42%
Weights: {'jaccard': 0.0, 'cosine': 0.0, 'synonym': 0.0, 'difflib': 0.3, 'enhanced': 0.0, 'levenshtein': 0.7}, Average Accuracy: 51.40%
Weights: {'jaccard': 0.0, 'cosine': 0.0, 'synonym': 0.0, 'difflib': 0.3, 'enhanced': 0.1, 'levenshtein': 0.6}, Average Accuracy: 49.31%
Weights: {'jaccard': 0.0, 'cosine': 0.0, 'synonym': 0.0, 'difflib': 0.3, 'enhanced': 0.2, 'levenshtein': 0.5}, Average Accuracy: 47.53%
Weights: {'jaccard': 0.0, 'cosine': 0.0, 'synonym': 0.0, 'difflib': 0.3, 'enhanced': 0.3, 'levenshtein': 0.4}, Average Accuracy: 45.88%
Weights: {'jaccard': 0.0, 'cosine': 0.0, 'synonym': 0.0, 'difflib': 0.3, 'enhanced': 0.4, 'levenshtein': 0.3}, Average Accuracy: 43.12%
Weights: {'jaccard': 0.0, 'cosine': 0.0, 'synonym': 0.0, 'difflib': 0.3, 'enhanced': 0.5, 'levenshtein': 0.2}, Average Accuracy: 41.66%
Weights: {'jaccard': 0.0, 'cosine': 0.0, 'synonym': 0.0, 'difflib': 0.3, 'enhanced': 0.7, 'levenshtein': 0.0}, Average Accuracy: 38.75%
Weights: {'jaccard': 0.0, 'cosine': 0.0, 'synonym': 0.0, 'difflib': 0.4, 'enhanced': 0.0, 'levenshtein': 0.6}, Average Accuracy: 51.30%
Weights: {'jaccard': 0.0, 'cosine': 0.0, 'synonym': 0.0, 'difflib': 0.4, 'enhanced': 0.1, 'levenshtein': 0.5}, Average Accuracy: 49.23%
Weights: {'jaccard': 0.0, 'cosine': 0.0, 'synonym': 0.0, 'difflib': 0.4, 'enhanced': 0.2, 'levenshtein': 0.4}, Average Accuracy: 47.44%
Weights: {'jaccard': 0.0, 'cosine': 0.0, 'synonym': 0.0, 'difflib': 0.4, 'enhanced': 0.3, 'levenshtein': 0.3}, Average Accuracy: 45.76%
Weights: {'jaccard': 0.0, 'cosine': 0.0, 'synonym': 0.0, 'difflib': 0.4, 'enhanced': 0.4, 'levenshtein': 0.2}, Average Accuracy: 42.99%
Weights: {'jaccard': 0.0, 'cosine': 0.0, 'synonym': 0.0, 'difflib': 0.4, 'enhanced': 0.5, 'levenshtein': 0.1}, Average Accuracy: 41.53%
Weights: {'jaccard': 0.0, 'cosine': 0.0, 'synonym': 0.0, 'difflib': 0.4, 'enhanced': 0.6, 'levenshtein': 0.0}, Average Accuracy: 40.07%
Weights: {'jaccard': 0.0, 'cosine': 0.0, 'synonym': 0.0, 'difflib': 0.5, 'enhanced': 0.0, 'levenshtein': 0.5}, Average Accuracy: 51.19%
Weights: {'jaccard': 0.0, 'cosine': 0.0, 'synonym': 0.0, 'difflib': 0.5, 'enhanced': 0.1, 'levenshtein': 0.4}, Average Accuracy: 49.16%
Weights: {'jaccard': 0.0, 'cosine': 0.0, 'synonym': 0.0, 'difflib': 0.5, 'enhanced': 0.2, 'levenshtein': 0.3}, Average Accuracy: 47.37%
